final_rank,final_tier,project_id,project_name,project_name_en,list_type,category,quadrant,quadrant_label,stock_band,scale_video_count_best,scale_video_count_tier,likely_reach_tier_final,likely_reach_tier_statistical,likely_total_play,statistical_likely_total_play,final_likely_total_play,audit_adjusted_likely_total_play,final_reach_display_note,audit_adjusted_note,likely_unique_videos,low_relevance_play_ratio,reach_noise_risk,raw_to_likely_tier_delta,manual_reviewed_rows,manual_related_rows,manual_uncertain_rows,manual_unrelated_rows,manual_changed_rows,manual_audit_verdict,previous_quadrant,manual_corrected_quadrant_changed,manual_reach_play_delta,review_priority,interpretation,headline_claim,top_likely_url,top_likely_play,top_likely_desc,top_noise_url,top_noise_play,top_noise_desc
1,T1_scale_export,1,春节,"Spring Festival, social practices of the Chinese people in celebration of traditional new year",RL,节庆民俗,stock_high__reach_high,真·规模化出海候选,stock_high,640926,head,top_20pct_reach,top_20pct_reach,1190216794,1190216794,1190216794,1190216794,statistical row-level likely play; no additional project-level audit adjustment,,900,0.2856,medium,0,2,0,0,2,0,,stock_high__reach_high,False,0,P3_normal,高存量高触达，属于当前最强规模化可见性组。,春节 是规模与相关触达均较强的头部可见项目。,https://www.tiktok.com/@mcplaygt/video/7608687823369047310,37300000,So anyone else got this much or less? 😭 #mcplaygt #fyp #skit #lunarnewyear #comedy,https://www.tiktok.com/@cnn/video/7614151831207398670,71900000,"President Donald Trump hosted the 2025 MLS Cup Champions Inter Miami on Thursday, marking Lionel Messi's first visit to the White House."
2,T1_scale_export,34,中国书法,Chinese calligraphy,RL,传统手工艺/视觉艺术,stock_high__reach_high,真·规模化出海候选,stock_high,1715067,head,top_20pct_reach,top_20pct_reach,842210064,842210064,842210064,842210064,statistical row-level likely play; no additional project-level audit adjustment,,402,0.2143,low,0,0,0,0,0,0,,stock_high__reach_high,False,0,P3_normal,高存量高触达，属于当前最强规模化可见性组。,中国书法 是规模与相关触达均较强的头部可见项目。,https://www.tiktok.com/@wk_writer__2/video/7542145372022410504,67300000,best handwriting in the world 💕💫😇 #handwriting #trending #calligraphy #viral #foryou,https://www.tiktok.com/@dailychallenge0/video/7590099046388321549,19700000,funny challenge game #funny #challenge #game
3,T1_scale_export,3,太极拳,Taijiquan,RL,传统体育/养生,stock_high__reach_high,真·规模化出海候选,stock_high,210873,head,top_20pct_reach,top_20pct_reach,248769168,248769168,248769168,248769168,statistical row-level likely play; no additional project-level audit adjustment,,377,0.234,low,2,1,0,0,1,1,,stock_high__reach_high,False,0,P3_normal,高存量高触达，属于当前最强规模化可见性组。,太极拳 是规模与相关触达均较强的头部可见项目。,https://www.tiktok.com/@tairi46/video/7555853013085130002,33400000,姫にダンスを操られる俺たち🎽@TAICHI（筋達磨）💪👹 @中島 結音（ゆのん）,https://www.tiktok.com/@yukungfu.com/video/7647935446462254367,39800000,"Kung fu shapes body, discipline shapes soul. #Training #kungfu"
4,T1_scale_export,36,中国剪纸,Chinese paper-cut,RL,传统手工艺,stock_high__reach_high,真·规模化出海候选,stock_high,28432,mid,high_20_40pct_reach,high_20_40pct_reach,205339021,205339021,205339021,205339021,statistical row-level likely play; no additional project-level audit adjustment,,300,0.4342,medium,0,1,0,0,1,0,,stock_high__reach_high,False,0,P3_normal,高存量高触达，属于当前最强规模化可见性组。,中国剪纸 是规模与相关触达均较强的头部可见项目。,https://www.tiktok.com/@onlyjayus/video/6943714855299943685,36500000,Life Advice with Jayus 🤓🐝 #fyp #lifeadvice #advice #lifehacks #hacks #protip #tips #onlyjayus #bees #papercut #hiccups #gay #onlyjayus,https://www.tiktok.com/@_vector_/video/7479295047393971487,30400000,How to make a spider snowflake
5,T1_scale_export_with_noise_risk,2,中国传统制茶技艺及其相关习俗,Traditional tea processing techniques and associated social practices in China,RL,手工艺/民俗,stock_high__reach_high,真·规模化出海候选,stock_high,16140,mid,high_20_40pct_reach,high_20_40pct_reach,143086500,143086500,143086500,143086500,statistical row-level likely play; no additional project-level audit adjustment,,473,0.5926,high,1,1,0,0,1,0,,stock_high__reach_high,False,0,P2_noise_risk,高存量高触达，但低相关播放占比偏高，作为规模化出海候选同时保留噪声 caveat。,中国传统制茶技艺及其相关习俗 是规模与相关触达均较强的头部可见项目。,https://www.tiktok.com/@tk25145156z/video/7569553905730768142,14500000,中国茶道知多少？让南方小牛牛给你们展示下吧#召唤茶友 #传统文化 #中国功夫茶 #茶文化茶生活以茶會友,https://www.tiktok.com/@tk25145156z/video/7566599130772983054,32800000,一老一少在泡茶，怎么样香不#传统文化 #召唤茶友 #茶文化茶生活以茶會友
6,T1_scale_export_with_noise_risk,23,南京云锦织造技艺,Craftsmanship of Nanjing Yunjin brocade,RL,传统手工艺,stock_high__reach_high,真·规模化出海候选,stock_high,603357,head,high_20_40pct_reach,high_20_40pct_reach,101751989,101751989,101751989,101751989,statistical row-level likely play; no additional project-level audit adjustment,,207,0.7331,high,1,0,0,0,0,0,,stock_high__reach_high,False,0,P2_noise_risk,高存量高触达，但低相关播放占比偏高，作为规模化出海候选同时保留噪声 caveat。,南京云锦织造技艺 是规模与相关触达均较强的头部可见项目。,https://www.tiktok.com/@le_sserafim/video/7632561832489733384,13000000,𝒯𝒾𝓂ℯ 𝓉ℴ 𝒸ℯ𝓁ℯ𝒷𝓇𝒶𝓉ℯ #HUHYUNJIN ✮ #CELEBRATION,https://www.tiktok.com/@destinationexplore/video/7227057440968183042,106000000,"Wow, so beautiful.❤️✨ 📍Nanjing| Nanjing Zhongshan #naturesms"
7,T1_scale_export_with_noise_risk,30,玛纳斯,Manas,RL,口头传统/史诗,stock_high__reach_high,真·规模化出海候选,stock_high,103875,head,high_20_40pct_reach,high_20_40pct_reach,101345094,101345094,101345094,101345094,statistical row-level likely play; no additional project-level audit adjustment,,89,0.711,high,1,1,0,0,1,0,,stock_high__reach_high,False,0,P2_noise_risk,高存量高触达，但低相关播放占比偏高，作为规模化出海候选同时保留噪声 caveat。,玛纳斯 是规模与相关触达均较强的头部可见项目。,https://www.tiktok.com/@manaspalaparti/video/7604472694184185102,24700000,"please ignore the ugly grandma bun ok so quick update lol, my main talking point in this was my dress, not my terrible hair or my lack of makeup. this was filmed close to 3:21 AM …",https://www.tiktok.com/@michaelcj.official/video/7538107186161995038,27500000,When Cai Jun Dances Like MJ – Coolness Defined in Every Glide#caijun #michaeljacksoncaijun#michael #mj #dance #moonwalk #theydontcareaboutus
8,T2_small_breakout,14,京剧,Peking opera,RL,表演艺术(戏曲),stock_low__reach_high,低存量高触达：小而精破圈候选,stock_mid,7633,long_tail,top_20pct_reach,top_20pct_reach,344408249,344408249,344408249,344408249,statistical row-level likely play; no additional project-level audit adjustment,,364,0.328,medium,1,19,4,2,13,12,,stock_low__reach_high,False,11800000,P1_low_stock_high_reach,低存量高触达，少量内容/词条贡献跨圈触达，是“小而精破圈”组。,京剧 是低存量但高触达的“小而精破圈”候选。,https://www.tiktok.com/@musicwang136/video/7205388003118697770,57700000,#chinese #京剧 #foryou,https://www.tiktok.com/@brian.liu1/video/7637255776473517319,24500000,看看【蒲公英的作品】真正的绝活# 戏曲舞台技术技巧 # 台上一分鐘台下#網絡搬運
9,T2_small_breakout,31,蒙古族呼麦,"Mongolian art of singing, Khoomei",RL,表演艺术(音乐),stock_low__reach_high,低存量高触达：小而精破圈候选,stock_low,902,near_invisible,top_20pct_reach,top_20pct_reach,320266425,320266425,320266425,320266425,statistical row-level likely play; no additional project-level audit adjustment,,162,0.4802,medium,0,9,3,0,6,7,,stock_low__reach_high,False,63200000,P1_low_stock_high_reach,低存量高触达，少量内容/词条贡献跨圈触达，是“小而精破圈”组。,蒙古族呼麦 是低存量但高触达的“小而精破圈”候选。,https://www.tiktok.com/@erklen/video/7544518597226401037,81000000,throat singing chicken 2 #throatsinging #throatsing #mongolianthroatsinging #erklen #berkleecollegeofmusic,https://www.tiktok.com/@mochalatteeeee_j/video/7641989538625244423,48400000,"belated and advance happy bday to us, my homies!🥳 #fyp #birthday #friends"
10,T2_small_breakout,24,宣纸传统制作技艺,Traditional handicrafts of making Xuan paper,RL,传统手工艺,stock_low__reach_high,低存量高触达：小而精破圈候选,stock_low,128,near_invisible,top_20pct_reach,top_20pct_reach,273472611,273472611,273472611,273472611,statistical row-level likely play; no additional project-level audit adjustment,,251,0.4143,medium,0,10,3,1,6,9,,stock_low__reach_high,False,-9300000,P1_low_stock_high_reach,低存量高触达，少量内容/词条贡献跨圈触达，是“小而精破圈”组。,宣纸传统制作技艺 是低存量但高触达的“小而精破圈”候选。,https://www.tiktok.com/@trendygabriel/video/7321072687260962091,38000000,Replying to @ムズキフ he knows how to make that paper💰 #wow #howitsmade,https://www.tiktok.com/@meet_east/video/7130057943722003758,53000000,Ancient papermaking #handwork
