project_id,heritage_item,project_name_en,category,search_keyword,source_platform,region_code,search_order,api_key_index,api_key_attempts,search_calls_including_failed_attempts,search_quota_cost_including_failed_attempts,max_pages_requested,pages_fetched,search_calls,search_quota_cost,collected_count,unique_video_count,totalResults_estimate,nextPageToken_present_at_stop,stop_reason,error_message,started_or_recorded_at
1,春节,"Spring Festival, social practices of the Chinese people in celebration of traditional new year",节庆民俗,Chinese New Year,youtube,US,relevance,1,[1],3,300,3,3,3,300,139,139,1000000,True,sample_limit_reached,,2026-06-16T13:50:39.638360+00:00
1,春节,"Spring Festival, social practices of the Chinese people in celebration of traditional new year",节庆民俗,Spring Festival,youtube,US,relevance,2,[2],3,300,3,3,3,300,128,128,1000000,True,sample_limit_reached,,2026-06-16T13:50:41.218756+00:00
2,中国传统制茶技艺及其相关习俗,Traditional tea processing techniques and associated social practices in China,手工艺/民俗,Chinese tea ceremony,youtube,US,relevance,3,[3],3,300,3,3,3,300,148,148,894899,True,sample_limit_reached,,2026-06-16T13:50:42.818079+00:00
3,太极拳,Taijiquan,传统体育/养生,Tai Chi,youtube,US,relevance,1,[1],3,300,3,3,3,300,132,132,1000000,True,sample_limit_reached,,2026-06-16T13:50:44.693388+00:00
3,太极拳,Taijiquan,传统体育/养生,Taijiquan,youtube,US,relevance,2,[2],3,300,3,3,3,300,137,137,886850,True,sample_limit_reached,,2026-06-16T13:50:46.316919+00:00
4,送王船,Ong Chun/Wangchuan/Wangkang ceremony...,民俗仪式,Wangchuan ceremony,youtube,US,relevance,3,[3],3,300,3,3,3,300,146,146,309,True,sample_limit_reached,,2026-06-16T13:50:47.825884+00:00
5,藏医药浴法,Lum medicinal bathing of Sowa Rigpa (Tibetan people),传统医药,Tibetan medicine bath,youtube,US,relevance,1,[1],3,300,3,3,3,300,120,120,618125,True,sample_limit_reached,,2026-06-16T13:50:49.576350+00:00
6,二十四节气,The Twenty-Four Solar Terms,传统知识/民俗,24 solar terms,youtube,US,relevance,2,[2],3,300,3,3,3,300,150,150,1000000,True,sample_limit_reached,,2026-06-16T13:50:51.878491+00:00
7,中国珠算,Chinese Zhusuan (abacus calculation),传统知识,Chinese abacus,youtube,US,relevance,3,[3],3,300,3,3,3,300,150,150,623161,True,sample_limit_reached,,2026-06-16T13:50:53.584223+00:00
8,福建木偶戏后继人才培养计划,Strategy for training Fujian puppetry practitioners,保护实践(木偶戏),Fujian puppetry,youtube,US,relevance,1,[1],3,300,3,3,3,300,136,136,3890,True,sample_limit_reached,,2026-06-16T13:50:55.311033+00:00
8,福建木偶戏后继人才培养计划,Strategy for training Fujian puppetry practitioners,保护实践(木偶戏),budaixi,youtube,US,relevance,2,[2],3,300,3,3,3,300,150,150,73079,True,sample_limit_reached,,2026-06-16T13:50:57.035544+00:00
9,赫哲族伊玛堪,Hezhe Yimakan storytelling,口头传统/史诗,Yimakan,youtube,US,relevance,3,[3],3,300,3,3,3,300,144,144,495,True,sample_limit_reached,,2026-06-16T13:50:58.666042+00:00
10,中国皮影戏,Chinese shadow puppetry,表演艺术,Chinese shadow puppetry,youtube,US,relevance,1,[1],3,300,3,3,3,300,141,141,794686,True,sample_limit_reached,,2026-06-16T13:51:00.499685+00:00
11,麦西热甫,Meshrep,表演艺术/民俗,Meshrep,youtube,US,relevance,2,[2],3,300,3,3,3,300,149,149,23711,True,sample_limit_reached,,2026-06-16T13:51:02.117189+00:00
12,中国水密隔舱福船制造技艺,Watertight-bulkhead technology of Chinese junks,传统手工艺,Chinese junk watertight bulkhead,youtube,US,relevance,3,[3],3,300,3,3,3,300,149,149,1443,True,sample_limit_reached,,2026-06-16T13:51:04.038721+00:00
13,中国木活字印刷术,Wooden movable-type printing of China,传统手工艺,Chinese wooden movable type,youtube,US,relevance,1,[1],3,300,3,3,3,300,143,143,1000000,True,sample_limit_reached,,2026-06-16T13:51:05.892299+00:00
14,京剧,Peking opera,表演艺术(戏曲),Peking opera,youtube,US,relevance,2,[2],3,300,3,3,3,300,139,139,540289,True,sample_limit_reached,,2026-06-16T13:51:07.594167+00:00
15,中医针灸,Acupuncture and moxibustion of traditional Chinese medicine,传统医药,acupuncture moxibustion,youtube,US,relevance,3,[3],3,300,3,3,3,300,145,145,170476,True,sample_limit_reached,,2026-06-16T13:51:09.511203+00:00
16,黎族传统纺染织绣技艺,Traditional Li textile techniques,传统手工艺,Li textile,youtube,US,relevance,1,[1],3,300,3,3,3,300,146,146,1000000,True,sample_limit_reached,,2026-06-16T13:51:11.208344+00:00
16,黎族传统纺染织绣技艺,Traditional Li textile techniques,传统手工艺,Li brocade,youtube,US,relevance,2,[2],3,300,3,3,3,300,127,127,565098,True,sample_limit_reached,,2026-06-16T13:51:12.749583+00:00
17,中国木拱桥传统营造技艺,Chinese wooden arch bridges (design & practices),传统手工艺/建筑,Chinese wooden arch bridge,youtube,US,relevance,3,[3],3,300,3,3,3,300,149,149,224522,True,sample_limit_reached,,2026-06-16T13:51:14.467148+00:00
18,羌年,Qiang New Year festival,节庆民俗,Qiang New Year,youtube,US,relevance,1,[1],3,300,3,3,3,300,145,145,305684,True,sample_limit_reached,,2026-06-16T13:51:16.124810+00:00
