project_id,heritage_item,project_name_en,category,search_keyword,source_platform,region_code,search_order,max_pages_requested,pages_fetched,search_calls,search_quota_cost,collected_count,unique_video_count,totalResults_estimate,nextPageToken_present_at_stop,stop_reason,error_message,started_or_recorded_at
1,春节,"Spring Festival, social practices of the Chinese people in celebration of traditional new year",节庆民俗,Chinese New Year,youtube,US,relevance,1,1,1,100,50,50,1000000,True,sample_limit_reached,,2026-06-16T12:16:09.173480+00:00
1,春节,"Spring Festival, social practices of the Chinese people in celebration of traditional new year",节庆民俗,Spring Festival,youtube,US,relevance,1,1,1,100,50,50,1000000,True,sample_limit_reached,,2026-06-16T12:16:09.714552+00:00
2,中国传统制茶技艺及其相关习俗,Traditional tea processing techniques and associated social practices in China,手工艺/民俗,Chinese tea ceremony,youtube,US,relevance,1,1,1,100,50,50,894651,True,sample_limit_reached,,2026-06-16T12:16:10.347218+00:00
3,太极拳,Taijiquan,传统体育/养生,Tai Chi,youtube,US,relevance,1,1,1,100,50,50,1000000,True,sample_limit_reached,,2026-06-16T12:16:10.858597+00:00
3,太极拳,Taijiquan,传统体育/养生,Taijiquan,youtube,US,relevance,1,1,1,100,50,50,1000000,True,sample_limit_reached,,2026-06-16T12:16:11.384717+00:00
4,送王船,Ong Chun/Wangchuan/Wangkang ceremony...,民俗仪式,Wangchuan ceremony,youtube,US,relevance,1,1,1,100,50,50,309,True,sample_limit_reached,,2026-06-16T12:16:11.755417+00:00
5,藏医药浴法,Lum medicinal bathing of Sowa Rigpa (Tibetan people),传统医药,Tibetan medicine bath,youtube,US,relevance,1,1,1,100,50,50,618143,True,sample_limit_reached,,2026-06-16T12:16:12.352641+00:00
6,二十四节气,The Twenty-Four Solar Terms,传统知识/民俗,24 solar terms,youtube,US,relevance,1,1,1,100,50,50,1000000,True,sample_limit_reached,,2026-06-16T12:16:12.807933+00:00
7,中国珠算,Chinese Zhusuan (abacus calculation),传统知识,Chinese abacus,youtube,US,relevance,1,1,1,100,50,50,623195,True,sample_limit_reached,,2026-06-16T12:16:13.308185+00:00
8,福建木偶戏后继人才培养计划,Strategy for training Fujian puppetry practitioners,保护实践(木偶戏),Fujian puppetry,youtube,US,relevance,1,1,1,100,50,50,4709,True,sample_limit_reached,,2026-06-16T12:16:13.825625+00:00
8,福建木偶戏后继人才培养计划,Strategy for training Fujian puppetry practitioners,保护实践(木偶戏),budaixi,youtube,US,relevance,1,1,1,100,50,50,73080,True,sample_limit_reached,,2026-06-16T12:16:14.251474+00:00
9,赫哲族伊玛堪,Hezhe Yimakan storytelling,口头传统/史诗,Yimakan,youtube,US,relevance,1,1,1,100,50,50,495,True,sample_limit_reached,,2026-06-16T12:16:14.715381+00:00
10,中国皮影戏,Chinese shadow puppetry,表演艺术,Chinese shadow puppetry,youtube,US,relevance,1,1,1,100,50,50,794745,True,sample_limit_reached,,2026-06-16T12:16:15.190067+00:00
11,麦西热甫,Meshrep,表演艺术/民俗,Meshrep,youtube,US,relevance,1,1,1,100,50,50,23712,True,sample_limit_reached,,2026-06-16T12:16:15.692330+00:00
12,中国水密隔舱福船制造技艺,Watertight-bulkhead technology of Chinese junks,传统手工艺,Chinese junk watertight bulkhead,youtube,US,relevance,1,1,1,100,27,27,5322,False,exhausted,,2026-06-16T12:16:16.074779+00:00
13,中国木活字印刷术,Wooden movable-type printing of China,传统手工艺,Chinese wooden movable type,youtube,US,relevance,1,1,1,100,50,50,1000000,True,sample_limit_reached,,2026-06-16T12:16:16.583989+00:00
14,京剧,Peking opera,表演艺术(戏曲),Peking opera,youtube,US,relevance,1,1,1,100,50,50,540308,True,sample_limit_reached,,2026-06-16T12:16:17.177916+00:00
15,中医针灸,Acupuncture and moxibustion of traditional Chinese medicine,传统医药,acupuncture moxibustion,youtube,US,relevance,1,1,1,100,50,50,170471,True,sample_limit_reached,,2026-06-16T12:16:17.658075+00:00
16,黎族传统纺染织绣技艺,Traditional Li textile techniques,传统手工艺,Li textile,youtube,US,relevance,1,1,1,100,50,50,1000000,True,sample_limit_reached,,2026-06-16T12:16:18.328392+00:00
16,黎族传统纺染织绣技艺,Traditional Li textile techniques,传统手工艺,Li brocade,youtube,US,relevance,1,1,1,100,50,50,564835,True,sample_limit_reached,,2026-06-16T12:16:18.825327+00:00
17,中国木拱桥传统营造技艺,Chinese wooden arch bridges (design & practices),传统手工艺/建筑,Chinese wooden arch bridge,youtube,US,relevance,1,1,1,100,50,50,207302,True,sample_limit_reached,,2026-06-16T12:16:19.343172+00:00
18,羌年,Qiang New Year festival,节庆民俗,Qiang New Year,youtube,US,relevance,1,1,1,100,50,50,305512,True,sample_limit_reached,,2026-06-16T12:16:19.823346+00:00
19,侗族大歌,Grand song of the Dong ethnic group,表演艺术(音乐),Dong grand song,youtube,US,relevance,1,1,1,100,50,50,1000000,True,sample_limit_reached,,2026-06-16T12:16:20.361963+00:00
19,侗族大歌,Grand song of the Dong ethnic group,表演艺术(音乐),Kgal laox,youtube,US,relevance,1,1,1,100,50,50,65,True,sample_limit_reached,,2026-06-16T12:16:20.745478+00:00
