project_id,project_name,project_name_en,list_type,category,scale_data_state,scale_video_count_best,scale_video_count_tier,stock_band,scale_best_hashtag,likely_reach_tier_statistical,likely_reach_tier,likely_reach_score,likely_total_play,likely_unique_videos,likely_max_play,likely_p95_play,likely_videos_ge_100k,likely_play_ratio,likely_video_ratio,reach_band_statistical,reach_band,raw_reach_tier,raw_total_play,inclusive_reach_tier,inclusive_total_play,low_relevance_play_ratio,reach_noise_risk,raw_to_likely_tier_delta,raw_unique_videos,label_likely_relevant_rows,label_needs_review_rows,label_low_relevance_rows,auto_label_likely_relevant_rows,auto_label_needs_review_rows,auto_label_low_relevance_rows,manual_reviewed_rows,manual_related_rows,manual_uncertain_rows,manual_unrelated_rows,manual_changed_rows,likely_top_video_url,likely_top_video_desc,manual_audit_verdict,manual_audit_note,quadrant,quadrant_label,previous_quadrant,previous_likely_reach_tier,previous_likely_total_play,manual_corrected_quadrant_changed,manual_corrected_reach_tier_changed,manual_reach_play_delta,review_priority,matrix_note
1,春节,"Spring Festival, social practices of the Chinese people in celebration of traditional new year",RL,节庆民俗,clean,640926,head,stock_high,chinesenewyear,top_20pct_reach,top_20pct_reach,7.358298,1190216794,900,37300000,6915000,543,0.6665,0.6701,reach_high,reach_high,top_20pct_reach,1785863950,top_20pct_reach,1275828452,0.2856,medium,0,1343,1032,156,343,1032,156,343,2,0,0,2,0,https://www.tiktok.com/@mcplaygt/video/7608687823369047310,So anyone else got this much or less? 😭 #mcplaygt #fyp #skit #lunarnewyear #comedy ,,,stock_high__reach_high,真·规模化出海候选,stock_high__reach_high,top_20pct_reach,1190216794,False,False,0,P3_normal,manual-corrected stock×reach matrix; reviewed videos override auto labels; unreviewed videos keep auto labels
2,中国传统制茶技艺及其相关习俗,Traditional tea processing techniques and associated social practices in China,RL,手工艺/民俗,clean,16140,mid,stock_high,gongfutea,high_20_40pct_reach,high_20_40pct_reach,6.676733,143086500,473,14500000,1700000,123,0.2435,0.3922,reach_high,reach_high,middle_40_70pct_reach,587708589,high_20_40pct_reach,242434553,0.5926,high,1,1206,640,282,673,640,282,673,1,0,0,1,0,https://www.tiktok.com/@tk25145156z/video/7569553905730768142,中国茶道知多少？让南方小牛牛给你们展示下吧#召唤茶友 #传统文化 #中国功夫茶 #茶文化茶生活以茶會友 ,,,stock_high__reach_high,真·规模化出海候选,stock_high__reach_high,high_20_40pct_reach,143086500,False,False,0,P2_noise_risk,manual-corrected stock×reach matrix; reviewed videos override auto labels; unreviewed videos keep auto labels
3,太极拳,Taijiquan,RL,传统体育/养生,clean,210873,head,stock_high,taichi,top_20pct_reach,top_20pct_reach,6.904095,248769168,377,33400000,2420000,183,0.718,0.7181,reach_high,reach_high,middle_40_70pct_reach,346462690,high_20_40pct_reach,265380166,0.234,low,2,525,427,109,80,427,110,79,1,0,0,1,1,https://www.tiktok.com/@tairi46/video/7555853013085130002,姫にダンスを操られる俺たち🎽@TAICHI（筋達磨）💪👹 @中島 結音（ゆのん） ,,,stock_high__reach_high,真·规模化出海候选,stock_high__reach_high,high_20_40pct_reach,248769168,False,True,0,P3_normal,manual-corrected stock×reach matrix; reviewed videos override auto labels; unreviewed videos keep auto labels
4,送王船,"Ong Chun/Wangchuan/Wangkang ceremony, rituals and related practices for maintaining the sustainable connection between man and the ocean",RL,民俗仪式,clean,1302,long_tail,stock_mid,wangkang,middle_40_70pct_reach,middle_40_70pct_reach,5.956881,20773209,142,5700000,309100,16,0.0641,0.1625,reach_mid,reach_mid,bottom_10pct_reach,324028879,lower_70_90pct_reach,27512122,0.9151,high,2,874,145,146,605,148,148,600,10,0,0,10,5,https://www.tiktok.com/@longchunchun/video/7279994056485145863,Thích cái cách mà cô ấy phá tài sản để mè nheo những tài sản mới 😂 #longchun #tunpham,,,stock_low__reach_low,低存量低触达：近乎隐形候选,stock_low__reach_low,middle_40_70pct_reach,41973209,False,False,-21200000,P0_manual_false_breakout,manual-corrected stock×reach matrix; reviewed videos override auto labels; unreviewed videos keep auto labels
5,藏医药浴法,"Lum medicinal bathing of Sowa Rigpa, knowledge and practices concerning life, health and illness prevention and treatment among the Xizang people in China",RL,传统医药,clean,256,near_invisible,stock_low,sowarigpa,bottom_10pct_reach,bottom_10pct_reach,4.86738,1011447,121,282900,44700,2,0.0033,0.1622,reach_low,reach_low,lower_70_90pct_reach,306313629,bottom_10pct_reach,3875145,0.9873,high,-1,746,126,43,588,128,45,584,11,1,0,10,4,https://www.tiktok.com/@cleo_abrahams/video/7126331545304059137,This ancient tibetan medicine massage helped me with my insomnia 💆‍♀️ #asmr #massage #tibetanmassage #headmassage #insomnia,,,stock_low__reach_low,低存量低触达：近乎隐形候选,stock_low__reach_low,bottom_10pct_reach,1356247,False,False,-344800,P0_noise_or_tier_drop,manual-corrected stock×reach matrix; reviewed videos override auto labels; unreviewed videos keep auto labels
6,二十四节气,"The Twenty-Four Solar Terms, knowledge in China of time and practices developed through observation of the sun's annual motion",RL,传统知识/民俗,clean,2636,long_tail,stock_mid,chinesecalendar,middle_40_70pct_reach,middle_40_70pct_reach,6.048366,22500849,188,2300000,730350,31,0.0645,0.2214,reach_mid,reach_mid,lower_70_90pct_reach,348781807,lower_70_90pct_reach,33048595,0.9052,high,1,849,200,60,623,203,63,617,11,0,0,11,6,https://www.tiktok.com/@zeianz/video/7615588769760038165,Year of the Goat/Sheep !!  🐐 🐑 #chinesecalendar #chinesezodiac #trending #fypp #xybzca ib : @Loveclouds,,,stock_low__reach_low,低存量低触达：近乎隐形候选,stock_low__reach_low,middle_40_70pct_reach,31700849,False,False,-9200000,P0_manual_false_breakout,manual-corrected stock×reach matrix; reviewed videos override auto labels; unreviewed videos keep auto labels
7,中国珠算,"Chinese Zhusuan, knowledge and practices of mathematical calculation through the abacus",RL,传统知识,clean,304,near_invisible,stock_low,珠算,high_20_40pct_reach,manual_demoted_false_breakout,6.824621,169744719,214,12800000,4305000,101,0.3345,0.3463,reach_high,reach_low,middle_40_70pct_reach,507482849,high_20_40pct_reach,175116582,0.6549,high,1,618,216,43,386,220,45,380,9,0,0,9,6,https://www.tiktok.com/@sabrinakanashiro/video/7482392760788602167,Multiplicação no Soroban ✖️🧮 #soroban #abaco #matematica #math #mathematics #calculomental #abacus #fyp #garotasapoiamgarotas #viral_video #viralvideos ,false_breakout_confirmed,targeted human audit found the sampled high-reach breakout evidence unrelated; remaining auto-likely signal is not trusted for final quadrant,stock_low__reach_low,低存量低触达：近乎隐形候选,stock_low__reach_high,top_20pct_reach,283844719,True,True,-114100000,P0_manual_false_breakout,manual-corrected stock×reach matrix; reviewed videos override auto labels; unreviewed videos keep auto labels; targeted audit can demote false breakout candidates beyond row-level relabeling
8,福建木偶戏,Strategy for training coming generations of Fujian puppetry practitioners,GSP,保护实践(木偶戏),clean,315,near_invisible,stock_low,布袋戏,bottom_10pct_reach,bottom_10pct_reach,4.720741,589865,59,425900,25960,1,0.0009,0.0682,reach_low,reach_low,middle_40_70pct_reach,623321342,middle_40_70pct_reach,28581463,0.9541,high,-2,865,66,80,758,66,85,753,13,3,0,10,7,https://www.tiktok.com/@goodlivinginchina/video/7614505628744043832,🖐️Discover #Fujian's intangible cultural heritage: the #Budaixi glove puppet show! A master with 20 years of performing experience shows his amazing finger skills. Melinda and Arun tried it and had lots of fun! It truly ,,,stock_low__reach_low,低存量低触达：近乎隐形候选,stock_low__reach_low,bottom_10pct_reach,1436465,False,False,-846600,P0_noise_or_tier_drop,manual-corrected stock×reach matrix; reviewed videos override auto labels; unreviewed videos keep auto labels
9,赫哲族伊玛堪,Hezhe Yimakan storytelling,USL,口头传统/史诗,clean,17,near_invisible,stock_low,hezhe,lower_70_90pct_reach,lower_70_90pct_reach,5.758759,8230401,59,749600,627450,21,0.026,0.0899,reach_low,reach_low,bottom_10pct_reach,317137967,lower_70_90pct_reach,10758489,0.9661,high,1,656,60,38,561,63,40,556,10,0,0,10,5,https://www.tiktok.com/@zhezhehe/video/7568091124795985160,With @cigwpols  #xuhuong #viral #theapothecarydiaries ,,,stock_low__reach_low,低存量低触达：近乎隐形候选,stock_low__reach_low,middle_40_70pct_reach,15530401,False,True,-7300000,P0_manual_false_breakout,manual-corrected stock×reach matrix; reviewed videos override auto labels; unreviewed videos keep auto labels
10,中国皮影戏,Chinese shadow puppetry,RL,表演艺术,clean,935,near_invisible,stock_low,piying,lower_70_90pct_reach,lower_70_90pct_reach,5.810895,13264017,163,3300000,257620,15,0.0163,0.2239,reach_low,reach_low,high_20_40pct_reach,814114302,middle_40_70pct_reach,38508469,0.9527,high,-2,728,192,104,516,191,107,514,14,6,0,8,3,https://www.tiktok.com/@pandatalk_/video/7017719800428285185,An art of using shadows-Chinese shadow puppetry!#china #foryou #fyp #tiktok #shadow,,,stock_low__reach_low,低存量低触达：近乎隐形候选,stock_low__reach_low,lower_70_90pct_reach,13264017,False,False,0,P0_noise_or_tier_drop,manual-corrected stock×reach matrix; reviewed videos override auto labels; unreviewed videos keep auto labels
