project_id,project_name,project_name_en,list_type,category,label_likely_relevant_rows,label_needs_review_rows,label_low_relevance_rows,youtube_collection_state_counts,youtube_three_page_lower_bound_rows,raw_unique_videos,raw_total_play,raw_median_play,raw_mean_play,raw_p75_play,raw_p90_play,raw_p95_play,raw_p99_play,raw_max_play,raw_videos_ge_1k,raw_videos_ge_10k,raw_videos_ge_100k,raw_videos_ge_1m,raw_zero_play_videos,raw_total_digg,raw_total_comment,raw_total_share,raw_max_digg,raw_max_comment,raw_max_share,raw_top_video_id,raw_top_video_url,raw_top_video_desc,likely_unique_videos,likely_total_play,likely_median_play,likely_mean_play,likely_p75_play,likely_p90_play,likely_p95_play,likely_p99_play,likely_max_play,likely_videos_ge_1k,likely_videos_ge_10k,likely_videos_ge_100k,likely_videos_ge_1m,likely_zero_play_videos,likely_total_digg,likely_total_comment,likely_total_share,likely_max_digg,likely_max_comment,likely_max_share,likely_top_video_id,likely_top_video_url,likely_top_video_desc,inclusive_unique_videos,inclusive_total_play,inclusive_median_play,inclusive_mean_play,inclusive_p75_play,inclusive_p90_play,inclusive_p95_play,inclusive_p99_play,inclusive_max_play,inclusive_videos_ge_1k,inclusive_videos_ge_10k,inclusive_videos_ge_100k,inclusive_videos_ge_1m,inclusive_zero_play_videos,inclusive_total_digg,inclusive_total_comment,inclusive_total_share,inclusive_max_digg,inclusive_max_comment,inclusive_max_share,inclusive_top_video_id,inclusive_top_video_url,inclusive_top_video_desc,low_unique_videos,low_total_play,low_median_play,low_mean_play,low_p75_play,low_p90_play,low_p95_play,low_p99_play,low_max_play,low_videos_ge_1k,low_videos_ge_10k,low_videos_ge_100k,low_videos_ge_1m,low_zero_play_videos,low_total_digg,low_total_comment,low_total_share,low_max_digg,low_max_comment,low_max_share,low_top_video_id,low_top_video_url,low_top_video_desc,likely_video_ratio,inclusive_video_ratio,low_relevance_video_ratio,likely_play_ratio,inclusive_play_ratio,low_relevance_play_ratio,reach_noise_risk,raw_reach_tier,raw_reach_score,likely_reach_tier,likely_reach_score,inclusive_reach_tier,inclusive_reach_score,reach_tier_changed_after_relevance_filter,raw_to_likely_tier_delta
1,春节,"Spring Festival, social practices of the Chinese people in celebration of traditional new year",RL,节庆民俗,0,0,0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,low,no_videos,0.0,no_videos,0.0,no_videos,0.0,False,0
2,中国传统制茶技艺及其相关习俗,Traditional tea processing techniques and associated social practices in China,RL,手工艺/民俗,0,0,0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,low,no_videos,0.0,no_videos,0.0,no_videos,0.0,False,0
3,太极拳,Taijiquan,RL,传统体育/养生,0,0,0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,low,no_videos,0.0,no_videos,0.0,no_videos,0.0,False,0
4,送王船,"Ong Chun/Wangchuan/Wangkang ceremony, rituals and related practices for maintaining the sustainable connection between man and the ocean",RL,民俗仪式,0,0,0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,low,no_videos,0.0,no_videos,0.0,no_videos,0.0,False,0
5,藏医药浴法,"Lum medicinal bathing of Sowa Rigpa, knowledge and practices concerning life, health and illness prevention and treatment among the Xizang people in China",RL,传统医药,0,0,0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,low,no_videos,0.0,no_videos,0.0,no_videos,0.0,False,0
6,二十四节气,"The Twenty-Four Solar Terms, knowledge in China of time and practices developed through observation of the sun's annual motion",RL,传统知识/民俗,0,0,0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,low,no_videos,0.0,no_videos,0.0,no_videos,0.0,False,0
7,中国珠算,"Chinese Zhusuan, knowledge and practices of mathematical calculation through the abacus",RL,传统知识,0,0,0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,low,no_videos,0.0,no_videos,0.0,no_videos,0.0,False,0
8,福建木偶戏,Strategy for training coming generations of Fujian puppetry practitioners,GSP,保护实践(木偶戏),0,0,0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,low,no_videos,0.0,no_videos,0.0,no_videos,0.0,False,0
9,赫哲族伊玛堪,Hezhe Yimakan storytelling,USL,口头传统/史诗,0,0,0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,low,no_videos,0.0,no_videos,0.0,no_videos,0.0,False,0
10,中国皮影戏,Chinese shadow puppetry,RL,表演艺术,0,0,0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,low,no_videos,0.0,no_videos,0.0,no_videos,0.0,False,0
11,麦西热甫,Meshrep,USL,表演艺术/民俗,0,0,0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,low,no_videos,0.0,no_videos,0.0,no_videos,0.0,False,0
12,中国水密隔舱福船制造技艺,Watertight-bulkhead technology of Chinese junks,USL,传统手工艺,0,0,0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,low,no_videos,0.0,no_videos,0.0,no_videos,0.0,False,0
13,中国木活字印刷术,Wooden movable-type printing of China,USL,传统手工艺,0,0,0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,low,no_videos,0.0,no_videos,0.0,no_videos,0.0,False,0
14,京剧,Peking opera,RL,表演艺术(戏曲),397,13,7,"{""ceiling_capped_500"": 417}",0,417,19997299,426,47955,2835,32278,118453,1034257,4508294,160,65,24,5,4,660112,20585,0,170531,9358,0,EmHYhDXz-Zs,https://www.youtube.com/watch?v=EmHYhDXz-Zs,京劇【鍘美案】包公 唱段 — 【鍘美案】包公 唱段,397,14147314,406,35636,2601,30337,110531,944689,2952390,148,60,21,3,3,430385,10908,0,109702,2447,0,wzBDB-u1pRg,https://www.youtube.com/watch?v=wzBDB-u1pRg,"群英聚会！《同光十三绝》从画中“走出来了”【2014年央视春晚】｜CCTV春晚 — 京剧《同光十三绝》 表演：国家京剧院一团

提起京剧的艺术家，必然要提到“同光十三绝”。因为这十三绝是徽班进京后由演唱徽调、昆腔衍变为京剧的十三位奠基人，又都是技艺非凡的表演艺术家。

【订阅CCTV春晚官方频道】 https://bit.ly/44jKJhR
《中央广播电视总台2014年春节联欢晚会》：https://www.youtube.com/w",410,15468656,420,37728,2791,31552,114945,969048,2952390,156,63,23,4,4,489077,11224,0,109702,2447,0,wzBDB-u1pRg,https://www.youtube.com/watch?v=wzBDB-u1pRg,"群英聚会！《同光十三绝》从画中“走出来了”【2014年央视春晚】｜CCTV春晚 — 京剧《同光十三绝》 表演：国家京剧院一团

提起京剧的艺术家，必然要提到“同光十三绝”。因为这十三绝是徽班进京后由演唱徽调、昆腔衍变为京剧的十三位奠基人，又都是技艺非凡的表演艺术家。

【订阅CCTV春晚官方频道】 https://bit.ly/44jKJhR
《中央广播电视总台2014年春节联欢晚会》：https://www.youtube.com/w",7,4528643,1229,646949,9050,1809981,3159138,4238463,4508294,4,2,1,1,0,171035,9361,0,170531,9358,0,EmHYhDXz-Zs,https://www.youtube.com/watch?v=EmHYhDXz-Zs,京劇【鍘美案】包公 唱段 — 【鍘美案】包公 唱段,0.952,0.9832,0.0168,0.7075,0.7735,0.2265,low,lower_70_90pct_reach,5.801679,lower_70_90pct_reach,5.696234,lower_70_90pct_reach,5.719537,False,0
15,中医针灸,Acupuncture and moxibustion of traditional Chinese medicine,RL,传统医药,243,141,14,"{""exhausted"": 398}",0,398,6938285,644,17433,1876,10071,29062,341783,1464268,157,41,9,3,2,95483,3422,0,34290,1339,0,NCBTxDfsVVg,https://www.youtube.com/watch?v=NCBTxDfsVVg,"Oriental Medicine Clinic🍵 ASMR acupuncture & moxibustion treatment for you to relax — Hello :)
Welcome to my oriental medicine clinic!
Tonight I'll gently examine you and you'll receive relaxing acupuncture and moxibusti",243,5917045,698,24350,2144,11371,30014,818618,1464268,102,30,7,3,0,81999,2902,0,34290,1339,0,NCBTxDfsVVg,https://www.youtube.com/watch?v=NCBTxDfsVVg,"Oriental Medicine Clinic🍵 ASMR acupuncture & moxibustion treatment for you to relax — Hello :)
Welcome to my oriental medicine clinic!
Tonight I'll gently examine you and you'll receive relaxing acupuncture and moxibusti",384,6897582,624,17962,1751,10131,29652,352042,1464268,149,40,9,3,0,94428,3347,0,34290,1339,0,NCBTxDfsVVg,https://www.youtube.com/watch?v=NCBTxDfsVVg,"Oriental Medicine Clinic🍵 ASMR acupuncture & moxibustion treatment for you to relax — Hello :)
Welcome to my oriental medicine clinic!
Tonight I'll gently examine you and you'll receive relaxing acupuncture and moxibusti",14,40703,1407,2907,3627,4847,9258,15806,17443,8,1,0,0,2,1055,75,0,276,36,0,fAiNJwi-ruU,https://www.youtube.com/watch?v=fAiNJwi-ruU,"Moxibustion cupping for calfpain,kneepain,backpain,sciatica,hip,shoulderpain and blood circulation — ",0.6106,0.9648,0.0352,0.8528,0.9941,0.0059,low,bottom_10pct_reach,5.289732,bottom_10pct_reach,5.260738,bottom_10pct_reach,5.291892,False,0
16,黎族传统纺染织绣技艺,"Traditional Li textile techniques: spinning, dyeing, weaving and embroidering",USL,传统手工艺,0,0,0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,low,no_videos,0.0,no_videos,0.0,no_videos,0.0,False,0
