project_id,project_name,project_name_en,list_type,category,search_terms_config_count,term_result_count,term_scripts,term_result_classes,ceiling_classes,search_stock_proxy,unique_video_count,total_play_count,median_play_count,mean_play_count,p75_play_count,p90_play_count,p95_play_count,p99_play_count,max_play_count,videos_ge_1k_play,videos_ge_10k_play,videos_ge_100k_play,videos_ge_1m_play,zero_play_videos,zero_play_ratio,total_digg_count,total_comment_count,total_share_count,max_digg_count,max_comment_count,max_share_count,all_video_language_proxy_counts,top10_by_play_language_proxy_counts,top_video_id,top_video_url,top_video_author,top_video_desc,absolute_reach_tier,initial_reach_tier,raw_reach_score,prelim_search_stock_x_reach_quadrant
1,春节,"Spring Festival, social practices of the Chinese people in celebration of traditional new year",RL,节庆民俗,9,9,"{""cjk"": 4, ""latin"": 5}","{""has_data"": 9}","{""ceiling_capped"": 9}",ceiling_capped_stock,1343,1785863950,138900,1329757,714700,2700000,6490000,21086000,71900000,1173,998,726,273,2,0.0015,160690720,1303743,17899626,7700000,135700,3500000,"{""cjk"": 201, ""latin"": 806, ""mixed"": 292, ""unknown"": 44}","{""cjk"": 1, ""latin"": 8, ""mixed"": 1}",7614151831207398670,https://www.tiktok.com/@cnn/video/7614151831207398670,cnn,"President Donald Trump hosted the 2025 MLS Cup Champions Inter Miami on Thursday, marking Lionel Messi's first visit to the White House.",very_high,top_20pct_raw_reach,7.479932,search_stock_high__reach_high
2,中国传统制茶技艺及其相关习俗,Traditional tea processing techniques and associated social practices in China,RL,手工艺/民俗,9,9,"{""cjk"": 5, ""latin"": 4}","{""has_data"": 9}","{""ceiling_capped"": 8, ""exhausted"": 1}",ceiling_capped_stock,1206,587708589,19550,487321,207325,986800,2300000,8380000,32800000,946,680,419,120,2,0.0017,34955206,285616,3974791,2200000,26700,869000,"{""cjk"": 227, ""latin"": 641, ""mixed"": 308, ""unknown"": 30}","{""cjk"": 3, ""latin"": 5, ""mixed"": 2}",7566599130772983054,https://www.tiktok.com/@tk25145156z/video/7566599130772983054,tk25145156z,一老一少在泡茶，怎么样香不#传统文化 #召唤茶友 #茶文化茶生活以茶會友 ,very_high,middle_40_70pct_raw_reach,7.061311,search_stock_low_or_unclear__reach_low_or_medium
3,太极拳,Taijiquan,RL,传统体育/养生,4,4,"{""cjk"": 2, ""latin"": 2}","{""has_data"": 4}","{""ceiling_capped"": 3, ""exhausted"": 1}",ceiling_capped_stock,525,346462690,50800,659929,397900,1500000,2380000,8976000,39800000,463,341,227,75,0,0.0,18789135,268640,1656700,3000000,31600,317800,"{""cjk"": 48, ""latin"": 303, ""mixed"": 157, ""unknown"": 17}","{""cjk"": 1, ""latin"": 6, ""mixed"": 3}",7647935446462254367,https://www.tiktok.com/@yukungfu.com/video/7647935446462254367,yukungfu.com,"Kung fu shapes body, discipline shapes soul. #Training #kungfu ",very_high,middle_40_70pct_raw_reach,6.976452,search_stock_low_or_unclear__reach_low_or_medium
4,送王船,"Ong Chun/Wangchuan/Wangkang ceremony, rituals and related practices for maintaining the sustainable connection between man and the ocean",RL,民俗仪式,6,6,"{""cjk"": 2, ""latin"": 4}","{""has_data"": 6}","{""ceiling_capped"": 5, ""exhausted"": 1}",ceiling_capped_stock,874,324028879,16400,370742,134675,600300,1800000,6781000,20300000,640,481,248,63,93,0.1064,17999849,177469,1016549,1800000,10500,104700,"{""cjk"": 159, ""latin"": 543, ""mixed"": 125, ""unknown"": 47}","{""latin"": 5, ""mixed"": 2, ""unknown"": 3}",7617709236507675924,https://www.tiktok.com/@khat_019/video/7617709236507675924,khat_019,คลิปนี้มีมวย5555🤔😂 #ฟีดดดシ #เทรนด์วันนี้  #อย่าปิดการมองเห็น  #รําวงเพชรบุรี  #มือคีย์บอดที่ชื่อสุดเขตอะ ,very_high,bottom_10pct_raw_reach,6.869169,search_stock_high__reach_low
5,藏医药浴法,"Lum medicinal bathing of Sowa Rigpa, knowledge and practices concerning life, health and illness prevention and treatment among the Xizang people in China",RL,传统医药,5,5,"{""cjk"": 2, ""latin"": 3}","{""has_data"": 5}","{""boundary"": 2, ""ceiling_capped"": 2, ""exhausted"": 1}",ceiling_capped_stock,746,306313629,22800,410608,164375,841400,1800000,6195000,38400000,557,417,241,66,1,0.0013,21538478,248105,2217911,1700000,21600,362200,"{""cjk"": 132, ""latin"": 489, ""mixed"": 74, ""unknown"": 51}","{""cjk"": 1, ""latin"": 6, ""unknown"": 3}",7058758162630872322,https://www.tiktok.com/@69scorpionqueen/video/7058758162630872322,69scorpionqueen,#сафарова #питер,very_high,lower_70_90pct_raw_reach,6.914751,search_stock_high__reach_low
6,二十四节气,"The Twenty-Four Solar Terms, knowledge in China of time and practices developed through observation of the sun's annual motion",RL,传统知识/民俗,5,5,"{""cjk"": 2, ""latin"": 3}","{""has_data"": 5}","{""ceiling_capped"": 2, ""exhausted"": 3}",ceiling_capped_stock,849,348781807,16900,410815,154800,713200,2060000,5708000,38700000,634,468,247,68,1,0.0012,18770914,252708,1343579,3100000,26400,164300,"{""cjk"": 181, ""latin"": 508, ""mixed"": 95, ""unknown"": 65}","{""cjk"": 1, ""latin"": 7, ""mixed"": 2}",7629582028886789406,https://www.tiktok.com/@l0nelysoul0/video/7629582028886789406,l0nelysoul0,... #real #atmosphere #apathy #nature #vibes ,very_high,lower_70_90pct_raw_reach,6.956735,search_stock_high__reach_low
7,中国珠算,"Chinese Zhusuan, knowledge and practices of mathematical calculation through the abacus",RL,传统知识,4,4,"{""cjk"": 2, ""latin"": 2}","{""has_data"": 4}","{""ceiling_capped"": 2, ""exhausted"": 2}",ceiling_capped_stock,618,507482849,28100,821170,299200,1530000,3415000,19511000,51000000,480,371,222,84,2,0.0032,25139881,251848,1620110,1700000,25800,185500,"{""cjk"": 143, ""latin"": 325, ""mixed"": 118, ""unknown"": 32}","{""cjk"": 1, ""latin"": 9}",7526849661034876165,https://www.tiktok.com/@dy991891/video/7526849661034876165,dy991891,Generasi emas sesungguhnya dari sebuah bangsa🤴🏻 #sempoamental #abacus #matematika #genalpha ,very_high,middle_40_70pct_raw_reach,7.109929,search_stock_low_or_unclear__reach_low_or_medium
8,福建木偶戏,Strategy for training coming generations of Fujian puppetry practitioners,GSP,保护实践(木偶戏),6,6,"{""cjk"": 2, ""latin"": 4}","{""has_data"": 6}","{""ceiling_capped"": 3, ""exhausted"": 3}",ceiling_capped_stock,865,623321342,39800,720603,269900,1200000,2980000,10616000,62900000,703,552,339,97,1,0.0012,47041781,323317,4819378,11000000,48500,1700000,"{""cjk"": 83, ""latin"": 580, ""mixed"": 151, ""unknown"": 51}","{""cjk"": 3, ""latin"": 5, ""mixed"": 1, ""unknown"": 1}",7646044803981004050,https://www.tiktok.com/@yigerenyetinghaode/video/7646044803981004050,yigerenyetinghaode,论戏精小猫如何出片 #街头摄影 #这个世界不能没有小猫 #领先烘焙猫粮 #领先猫粮 #领先羊奶鸡,very_high,middle_40_70pct_raw_reach,7.157003,search_stock_low_or_unclear__reach_low_or_medium
9,赫哲族伊玛堪,Hezhe Yimakan storytelling,USL,口头传统/史诗,4,4,"{""cjk"": 2, ""latin"": 2}","{""has_data"": 4}","{""ceiling_capped"": 4}",ceiling_capped_stock,656,317137967,44700,483442,259250,843550,1850000,8890000,22000000,547,425,256,60,0,0.0,21659356,259376,3088447,2200000,34300,1200000,"{""cjk"": 113, ""latin"": 311, ""mixed"": 143, ""unknown"": 89}","{""cjk"": 2, ""latin"": 7, ""mixed"": 1}",7166206744530570497,https://www.tiktok.com/@mayilong0/video/7166206744530570497,mayilong0,"#ftx #dogecoin #elonmusk #tesla Really want to slap you both in the face.  So many people put their trust in you, only to let them down.",very_high,bottom_10pct_raw_reach,6.878425,search_stock_high__reach_low
10,中国皮影戏,Chinese shadow puppetry,RL,表演艺术,5,5,"{""cjk"": 2, ""latin"": 3}","{""has_data"": 5}","{""ceiling_capped"": 3, ""exhausted"": 2}",ceiling_capped_stock,728,814114302,31650,1118289,339000,2100000,4365000,24296000,62900000,574,452,289,109,0,0.0,45821026,402680,5084294,11000000,66700,1700000,"{""cjk"": 115, ""latin"": 437, ""mixed"": 147, ""unknown"": 29}","{""cjk"": 4, ""latin"": 6}",7646044803981004050,https://www.tiktok.com/@yigerenyetinghaode/video/7646044803981004050,yigerenyetinghaode,论戏精小猫如何出片 #街头摄影 #这个世界不能没有小猫 #领先烘焙猫粮 #领先猫粮 #领先羊奶鸡,very_high,high_20_40pct_raw_reach,7.248704,search_stock_high__reach_high
